home_team,away_team,home_avg_xg_last5,away_avg_xg_last5,xg_diff,result
3,31,1.312,0.796,0.516,A
3,11,1.264,0.742,0.522,H
3,54,1.242,0.79,0.45199999999999996,H
3,40,1.526,0.836,0.6900000000000001,H
3,13,1.4700000000000002,0.734,0.7360000000000002,H
3,14,2.248,1.1480000000000001,1.1,H
3,43,2.196,1.318,0.8780000000000001,H
3,1,2.152,1.6079999999999999,0.5440000000000003,H
3,4,2.1079999999999997,1.7120000000000002,0.39599999999999946,A
3,17,1.8399999999999999,1.8539999999999999,-0.014000000000000012,H
3,20,1.158,1.47,-0.31200000000000006,H
3,6,1.54,1.3319999999999999,0.20800000000000018,H
3,21,1.6300000000000001,1.24,0.3900000000000001,H
3,39,1.442,1.302,0.1399999999999999,H
7,31,1.9260000000000002,0.97,0.9560000000000002,H
7,11,2.186,0.852,1.334,H
7,54,2.354,1.002,1.352,H
7,40,2.0439999999999996,0.6799999999999999,1.3639999999999997,H
7,13,2.1719999999999997,0.6719999999999999,1.4999999999999998,H
7,14,2.018,0.472,1.5459999999999998,A
7,43,1.53,0.616,0.914,H
7,1,1.44,0.462,0.978,A
7,4,1.3639999999999999,0.672,0.6919999999999998,H
7,17,1.332,0.674,0.658,H
7,20,1.626,0.642,0.9839999999999999,H
7,6,1.95,0.636,1.314,H
7,21,1.8939999999999997,0.806,1.0879999999999996,A
7,39,1.964,0.6599999999999999,1.304,H
94,31,1.214,1.3199999999999998,-0.10599999999999987,H
94,11,1.236,1.326,-0.09000000000000008,H
94,54,1.468,1.26,0.20799999999999996,H
94,40,1.902,1.108,0.7939999999999998,H
94,13,2.2779999999999996,0.73,1.5479999999999996,H
94,14,2.5140000000000002,0.9799999999999999,1.5340000000000003,A
94,43,2.34,1.0059999999999998,1.334,H
94,1,2.56,0.976,1.584,H
94,4,2.4739999999999998,1.1019999999999999,1.3719999999999999,A
94,17,1.9,1.3159999999999998,0.5840000000000001,A
94,20,1.5639999999999998,0.8800000000000001,0.6839999999999997,H
94,6,1.9759999999999998,0.776,1.1999999999999997,H
94,21,1.8719999999999999,0.9260000000000002,0.9459999999999997,A
94,39,1.432,0.8280000000000001,0.6039999999999999,H
36,31,1.514,1.346,0.16799999999999993,A
36,11,1.23,1.238,-0.008000000000000007,A
36,54,1.0719999999999998,1.152,-0.08000000000000007,H
36,40,1.2,1.2120000000000002,-0.012000000000000233,H
36,13,1.27,1.16,0.1100000000000001,H
36,14,1.7939999999999998,1.612,0.18199999999999972,A
36,43,2.034,1.778,0.2559999999999998,H
36,1,2.346,1.8980000000000001,0.44799999999999995,H
36,4,2.4560000000000004,1.934,0.5220000000000005,A
36,17,2.248,1.902,0.3460000000000003,A
36,20,1.64,1.53,0.10999999999999988,H
36,6,1.536,1.262,0.274,H
36,21,1.43,1.1600000000000001,0.2699999999999998,H
36,39,1.274,1.074,0.19999999999999996,A
8,31,2.4240000000000004,1.3519999999999999,1.0720000000000005,H
8,11,2.398,1.3459999999999999,1.0520000000000003,H
8,54,2.266,1.276,0.99,A
8,40,2.152,1.132,1.0200000000000002,H
8,13,2.1340000000000003,1.206,0.9280000000000004,H
8,14,1.6580000000000001,1.19,0.4680000000000002,H
8,43,1.4040000000000001,1.464,-0.05999999999999983,H
8,1,1.4300000000000002,1.57,-0.1399999999999999,H
8,4,1.372,1.85,-0.478,A
8,17,1.266,1.8099999999999998,-0.5439999999999998,H
8,20,1.402,1.566,-0.16400000000000015,H
8,6,1.6939999999999997,1.39,0.3039999999999998,H
8,21,1.7100000000000002,1.358,0.3520000000000001,H
8,39,1.8780000000000001,1.28,0.5980000000000001,H
31,8,1.592,1.208,0.3840000000000001,A
31,11,1.734,0.9860000000000001,0.7479999999999999,H
31,54,1.7599999999999998,1.096,0.6639999999999997,A
31,40,1.2019999999999997,1.002,0.19999999999999973,H
31,13,1.6379999999999995,0.8,0.8379999999999994,H
31,14,2.026,0.758,1.2679999999999998,A
31,43,1.9379999999999995,0.8240000000000001,1.1139999999999994,A
31,1,1.8619999999999997,0.5279999999999999,1.3339999999999996,A
31,4,1.7599999999999998,0.662,1.0979999999999999,H
31,17,1.4599999999999997,0.8160000000000001,0.6439999999999997,H
31,20,1.4619999999999997,0.8939999999999999,0.5679999999999998,H
31,6,1.7399999999999998,0.898,0.8419999999999997,H
31,21,1.6279999999999997,1.082,0.5459999999999996,A
31,39,1.6959999999999997,0.882,0.8139999999999997,H
11,8,1.166,1.338,-0.17200000000000015,A
11,31,0.9739999999999999,0.8720000000000001,0.10199999999999976,A
11,54,0.9419999999999998,1.1620000000000001,-0.2200000000000003,A
11,40,0.8719999999999999,1.206,-0.3340000000000001,A
11,13,0.7459999999999998,1.264,-0.5180000000000002,H
11,14,1.1479999999999997,1.294,-0.14600000000000035,H
11,43,1.1319999999999997,1.476,-0.3440000000000003,A
11,1,1.14,1.45,-0.31000000000000005,H
11,4,1.3639999999999997,1.162,0.20199999999999974,A
11,17,1.384,1.0579999999999998,0.32600000000000007,A
11,20,1.0699999999999998,0.968,0.10199999999999987,H
11,6,1.3579999999999999,0.826,0.5319999999999999,H
11,21,1.5619999999999998,0.764,0.7979999999999998,H
11,39,1.3799999999999997,1.0379999999999998,0.34199999999999986,H
54,8,1.0099999999999998,1.348,-0.3380000000000003,A
54,31,0.8319999999999996,1.172,-0.3400000000000003,A
54,11,0.8399999999999996,1.1219999999999999,-0.28200000000000025,A
54,40,0.6779999999999997,1.064,-0.38600000000000034,H
54,13,0.8559999999999999,0.844,0.0119999999999999,H
54,14,1.0819999999999999,0.734,0.34799999999999986,A
54,43,1.188,0.9620000000000001,0.22599999999999987,A
54,1,1.404,0.852,0.5519999999999999,H
54,4,1.3439999999999999,1.1,0.24399999999999977,H
54,17,1.3539999999999996,1.33,0.023999999999999577,H
54,20,1.4339999999999997,1.438,-0.004000000000000226,H
54,6,1.4599999999999997,1.244,0.21599999999999975,H
54,21,1.3979999999999997,1.3279999999999998,0.06999999999999984,H
54,39,1.5719999999999998,1.074,0.4979999999999998,A
40,8,0.7479999999999997,1.3479999999999999,-0.6000000000000002,A
40,31,0.7999999999999996,1.1999999999999997,-0.40000000000000013,A
40,11,0.8559999999999997,1.0739999999999998,-0.2180000000000002,A
40,54,0.8699999999999998,1.208,-0.3380000000000002,A
40,13,0.8099999999999998,1.036,-0.2260000000000002,A
40,14,0.9539999999999997,1.064,-0.11000000000000032,A
40,43,0.7279999999999996,1.4040000000000001,-0.6760000000000005,A
40,1,0.7459999999999998,1.2440000000000002,-0.49800000000000044,H
40,4,0.8139999999999997,1.3,-0.4860000000000003,A
40,17,0.8659999999999997,1.262,-0.39600000000000035,A
40,20,0.7499999999999998,1.092,-0.3420000000000003,H
40,6,1.0279999999999998,0.6839999999999999,0.34399999999999986,A
40,21,1.142,0.7859999999999999,0.356,A
40,39,0.9719999999999998,0.742,0.22999999999999976,A
13,8,0.6559999999999998,1.544,-0.8880000000000002,A
13,31,0.7199999999999998,1.3279999999999998,-0.6080000000000001,A
13,11,1.0159999999999996,1.512,-0.49600000000000044,A
13,54,1.0579999999999996,1.46,-0.40200000000000036,A
13,40,1.0499999999999998,1.584,-0.5340000000000003,A
13,14,0.9279999999999997,1.714,-0.7860000000000003,A
13,43,0.7219999999999998,1.9920000000000002,-1.2700000000000005,H
13,1,0.6419999999999997,1.8039999999999998,-1.1620000000000001,H
13,4,0.7199999999999998,2.08,-1.3600000000000003,A
13,17,0.7219999999999998,2.066,-1.344,A
13,20,0.7339999999999998,1.718,-0.9840000000000002,H
13,6,0.9719999999999998,1.4540000000000002,-0.48200000000000043,A
13,21,0.9219999999999997,1.5100000000000002,-0.5880000000000005,A
13,39,1.0459999999999998,1.558,-0.5120000000000002,A
14,8,2.0879999999999996,1.748,0.33999999999999964,H
14,31,2.064,1.8359999999999999,0.2280000000000002,H
14,11,2.0799999999999996,1.746,0.33399999999999963,H
14,54,1.954,1.8800000000000001,0.07399999999999984,H
14,40,1.85,1.884,-0.03399999999999981,H
14,13,1.9159999999999997,1.6440000000000001,0.2719999999999996,H
14,43,1.9099999999999997,1.534,0.37599999999999967,H
14,1,2.1959999999999997,1.496,0.6999999999999997,H
14,4,2.4819999999999998,1.714,0.7679999999999998,H
14,17,2.396,1.7479999999999998,0.6480000000000001,H
14,20,2.1879999999999997,1.544,0.6439999999999997,H
14,6,2.63,1.526,1.1039999999999999,H
14,21,2.3719999999999994,1.964,0.4079999999999995,H
14,39,2.1439999999999997,1.53,0.6139999999999997,H
43,8,1.7399999999999998,1.012,0.7279999999999998,H
43,31,1.9319999999999997,1.1400000000000001,0.7919999999999996,H
43,11,2.222,0.998,1.224,H
43,54,2.4219999999999997,1.1320000000000001,1.2899999999999996,A
43,40,2.3019999999999996,1.026,1.2759999999999996,H
43,13,2.626,0.8960000000000001,1.7299999999999998,H
43,14,2.5739999999999994,0.708,1.8659999999999994,A
43,1,1.9779999999999998,0.784,1.1939999999999997,A
43,4,1.75,0.5860000000000001,1.164,H
43,17,1.8159999999999996,0.5780000000000001,1.2379999999999995,H
43,20,1.6299999999999997,0.5820000000000001,1.0479999999999996,H
43,6,1.7719999999999998,0.508,1.2639999999999998,A
43,21,2.07,0.4800000000000001,1.5899999999999999,H
43,39,2.262,0.734,1.528,H
1,8,1.9119999999999997,1.43,0.48199999999999976,H
1,31,1.8519999999999999,1.7100000000000002,0.14199999999999968,A
1,11,1.7719999999999998,1.5,0.2719999999999998,H
1,54,1.3959999999999997,1.828,-0.4320000000000004,H
1,40,1.6159999999999997,1.478,0.13799999999999968,A
1,13,1.464,1.1320000000000001,0.33199999999999985,H
1,14,1.22,0.86,0.36,A
1,43,1.2679999999999998,0.9019999999999999,0.3659999999999999,H
1,4,1.13,0.4779999999999999,0.6519999999999999,A
1,17,0.8239999999999998,0.6279999999999999,0.19599999999999995,H
1,20,1.0,0.656,0.344,H
1,6,1.532,1.016,0.516,A
1,21,1.452,1.122,0.32999999999999985,H
1,39,1.832,1.114,0.718,H
4,8,1.5039999999999998,1.182,0.32199999999999984,H
4,31,1.7239999999999998,1.378,0.34599999999999986,A
4,11,1.9279999999999997,1.416,0.5119999999999998,H
4,54,1.6299999999999997,1.332,0.2979999999999996,A
4,40,1.494,1.232,0.262,H
4,13,1.6599999999999997,1.1360000000000001,0.5239999999999996,H
4,14,2.04,0.974,1.066,H
4,43,2.1499999999999995,0.932,1.2179999999999995,H
4,1,2.21,1.2600000000000002,0.9499999999999997,H
4,17,2.2939999999999996,1.1400000000000001,1.1539999999999995,H
4,20,2.306,1.322,0.984,A
4,6,1.5979999999999999,1.8820000000000001,-0.28400000000000025,H
4,21,1.5459999999999998,2.12,-0.5740000000000003,H
4,39,1.5599999999999998,1.754,-0.19400000000000017,H
17,8,1.5579999999999998,0.952,0.6059999999999999,H
17,31,1.5379999999999998,1.1420000000000001,0.3959999999999997,H
17,11,1.8099999999999998,1.306,0.5039999999999998,A
17,54,1.5519999999999998,1.2920000000000003,0.25999999999999956,A
17,40,1.5319999999999996,1.0879999999999999,0.44399999999999973,H
17,13,1.1859999999999997,1.0020000000000002,0.1839999999999995,H
17,14,1.2079999999999997,1.0,0.20799999999999974,A
17,43,0.9179999999999999,0.95,-0.03200000000000003,A
17,1,0.9659999999999999,0.7020000000000001,0.2639999999999998,A
17,4,0.9019999999999999,1.066,-0.16400000000000015,A
17,20,0.6919999999999998,1.3820000000000001,-0.6900000000000003,H
17,6,0.8399999999999999,1.236,-0.39600000000000013,H
17,21,1.002,1.216,-0.21399999999999997,H
17,39,1.2899999999999998,1.476,-0.18600000000000017,H
20,8,0.4299999999999998,0.9339999999999999,-0.5040000000000001,A
20,31,0.5839999999999999,0.9299999999999999,-0.3460000000000001,A
20,11,0.5619999999999997,1.1059999999999999,-0.5440000000000002,A
20,54,0.6459999999999998,1.114,-0.4680000000000003,A
20,40,0.7139999999999997,1.056,-0.3420000000000003,H
20,13,1.186,1.052,0.1339999999999999,A
20,14,1.3039999999999998,1.256,0.04799999999999982,A
20,43,1.4579999999999997,1.1680000000000001,0.2899999999999996,A
20,1,1.3319999999999996,1.228,0.10399999999999965,A
20,4,1.4299999999999997,1.45,-0.02000000000000024,A
20,17,1.0839999999999999,1.5939999999999999,-0.51,A
20,6,0.6819999999999998,1.376,-0.6940000000000001,A
20,21,0.5939999999999998,1.23,-0.6360000000000002,A
20,39,0.8519999999999998,1.052,-0.2000000000000003,H
6,8,2.046,3.8260000000000005,-1.7800000000000007,H
6,31,2.32,3.524,-1.2040000000000002,A
6,11,2.3139999999999996,3.2600000000000002,-0.9460000000000006,H
6,54,2.312,2.852,-0.54,A
6,40,1.764,2.396,-0.6319999999999999,A
6,13,1.668,1.952,-0.28400000000000003,A
6,14,1.2959999999999998,2.4059999999999997,-1.1099999999999999,A
6,43,1.414,2.472,-1.058,A
6,1,1.1939999999999997,2.522,-1.328,H
6,4,1.484,2.77,-1.286,A
6,17,1.3619999999999997,2.618,-1.2560000000000002,H
6,20,1.582,2.166,-0.5839999999999999,H
6,21,1.77,2.1500000000000004,-0.38000000000000034,H
6,39,1.888,1.6880000000000002,0.19999999999999973,H
21,8,1.3559999999999997,1.6940000000000002,-0.3380000000000005,A
21,31,1.3959999999999997,2.224,-0.8280000000000005,A
21,11,1.1439999999999997,2.0520000000000005,-0.9080000000000008,A
21,54,0.8179999999999998,2.208,-1.3900000000000003,A
21,40,0.8439999999999998,2.084,-1.2400000000000002,H
21,13,1.3399999999999999,1.83,-0.4900000000000002,H
21,14,1.436,2.278,-0.8420000000000001,A
21,43,1.4519999999999997,2.502,-1.05,A
21,1,1.432,2.4899999999999998,-1.0579999999999998,H
21,4,1.8419999999999999,2.6719999999999997,-0.8299999999999998,A
21,17,1.2279999999999998,2.456,-1.2280000000000002,A
21,20,1.1579999999999997,1.5379999999999998,-0.3800000000000001,H
21,6,1.2459999999999998,1.6019999999999999,-0.3560000000000001,H
21,39,1.3199999999999998,1.442,-0.12200000000000011,A
39,8,0.9559999999999997,2.084,-1.1280000000000003,H
39,31,1.2559999999999998,1.6280000000000001,-0.37200000000000033,A
39,11,1.4139999999999997,1.4440000000000002,-0.03000000000000047,A
39,54,1.2419999999999995,1.492,-0.25000000000000044,A
39,40,1.2959999999999998,1.4340000000000002,-0.13800000000000034,H
39,13,1.3679999999999997,1.0699999999999998,0.2979999999999998,H
39,14,1.38,1.436,-0.05600000000000005,A
39,43,1.1999999999999997,1.814,-0.6140000000000003,A
39,1,1.2399999999999998,1.902,-0.6620000000000001,H
39,4,1.15,2.052,-0.9020000000000001,A
39,17,1.142,2.3600000000000003,-1.2180000000000004,A
39,20,1.0559999999999998,1.8820000000000001,-0.8260000000000003,H
39,6,1.182,1.3820000000000001,-0.20000000000000018,H
39,21,1.4759999999999998,1.0699999999999998,0.4059999999999999,A
